 

stn;time;rre150d0
URRET;20180301;2.2
URRET;20180302;4.4
URRET;20180303;34.3
URRET;20180304;0.3
URRET;20180305;0.6
URRET;20180306;4.7
URRET;20180307;19.1
URRET;20180308;0.8
URRET;20180309;9.2
URRET;20180310;3.0
URRET;20180311;7.4
URRET;20180312;-
URRET;20180313;-
URRET;20180314;-
URRET;20180315;-
URRET;20180316;10.4
URRET;20180317;19.1
URRET;20180318;8.6
URRET;20180319;2.2
URRET;20180320;1.9
URRET;20180321;-
URRET;20180322;-
URRET;20180323;-
URRET;20180324;-
URRET;20180325;-
URRET;20180326;17.0
URRET;20180327;-
URRET;20180328;-
URRET;20180329;-
URRET;20180330;-
URRET;20180331;-
URRET;20180401;-
URRET;20180402;-
URRET;20180403;-
URRET;20180404;-
URRET;20180405;-
URRET;20180406;-
URRET;20180407;-
URRET;20180408;-
URRET;20180409;-
URRET;20180410;-
URRET;20180411;-
URRET;20180412;-
URRET;20180413;-
URRET;20180414;-
URRET;20180415;-
URRET;20180416;-
URRET;20180417;-
URRET;20180418;-
URRET;20180419;-
URRET;20180420;-
URRET;20180421;-
URRET;20180422;-
URRET;20180423;-
URRET;20180424;-
URRET;20180425;-
URRET;20180426;-
URRET;20180427;0.1
URRET;20180428;9.5
URRET;20180429;38.0
URRET;20180430;6.3
URRET;20180501;0.4
URRET;20180502;15.1
URRET;20180503;3.1
URRET;20180504;0.1
URRET;20180505;0.0
URRET;20180506;0.0
URRET;20180507;0.0
URRET;20180508;0.0
URRET;20180509;0.1
URRET;20180510;3.5
URRET;20180511;0.6
URRET;20180512;1.4
URRET;20180513;15.8
URRET;20180514;10.8
URRET;20180515;7.9
URRET;20180516;1.6
URRET;20180517;0.3
URRET;20180518;0.0
URRET;20180519;4.3
URRET;20180520;2.0
URRET;20180521;-
URRET;20180522;0.0
URRET;20180523;0.0
URRET;20180524;0.0
URRET;20180525;0.0
URRET;20180526;3.1
URRET;20180527;0.0
URRET;20180528;6.3
URRET;20180529;2.0
URRET;20180530;6.5
URRET;20180531;4.1
URRET;20180601;0.0
URRET;20180602;0.0
URRET;20180603;0.0
URRET;20180604;0.3
URRET;20180605;1.1
URRET;20180606;0.5
URRET;20180607;0.0
URRET;20180608;0.4
URRET;20180609;0.7
URRET;20180610;0.0
URRET;20180611;17.0
URRET;20180612;12.4
URRET;20180613;3.2
URRET;20180614;0.0
URRET;20180615;0.0
URRET;20180616;0.0
URRET;20180617;1.7
URRET;20180618;0.0
URRET;20180619;0.0
URRET;20180620;0.0
URRET;20180621;9.0
URRET;20180622;0.0
URRET;20180623;0.0
URRET;20180624;0.0
URRET;20180625;0.7
URRET;20180626;0.0
URRET;20180627;0.0
URRET;20180628;0.1
URRET;20180629;0.0
URRET;20180630;0.0
URRET;20180701;0.6
URRET;20180702;0.0
URRET;20180703;1.1
URRET;20180704;3.8
URRET;20180705;9.4
URRET;20180706;2.9
URRET;20180707;0.0
URRET;20180708;0.0
URRET;20180709;0.0
URRET;20180710;0.0
URRET;20180711;0.0
URRET;20180712;0.0
URRET;20180713;0.1
URRET;20180714;4.1
URRET;20180715;2.1
URRET;20180716;0.3
URRET;20180717;0.8
URRET;20180718;0.0
URRET;20180719;11.4
URRET;20180720;13.5
URRET;20180721;2.1
URRET;20180722;0.6
URRET;20180723;0.3
URRET;20180724;0.4
URRET;20180725;0.3
URRET;20180726;0.0
URRET;20180727;0.0
URRET;20180728;8.4
URRET;20180729;0.0
URRET;20180730;0.0
URRET;20180731;0.0
URRET;20180801;7.2
URRET;20180802;1.1
URRET;20180803;0.0
URRET;20180804;0.0
URRET;20180805;0.0
URRET;20180806;1.3
URRET;20180807;11.0
URRET;20180808;3.1
URRET;20180809;9.2
URRET;20180810;0.3
URRET;20180811;0.0
URRET;20180812;0.0
URRET;20180813;15.5
URRET;20180814;3.1
URRET;20180815;0.0
URRET;20180816;0.0
URRET;20180817;0.9
URRET;20180818;0.3
